city,province,year,total_precipitation_mm,total_rain_mm,total_snowfall_cm,total_precip_hours,rainy_days,heavy_rain_days_gt25mm,very_heavy_days_gt50mm,extreme_days_gt100mm,max_daily_precip_mm,avg_daily_precip_mm
Vehari,Punjab,2015,450.5,450.5,0.0,524.0,104,3,1,0,50.6,1.23
Vehari,Punjab,2016,247.5,247.5,0.0,337.0,85,0,0,0,22.2,0.68
Vehari,Punjab,2017,248.6,248.6,0.0,328.0,94,0,0,0,21.2,0.68
Vehari,Punjab,2018,193.8,193.8,0.0,276.0,76,0,0,0,24.4,0.53
Vehari,Punjab,2019,317.7,317.7,0.0,418.0,104,1,0,0,25.9,0.87
Vehari,Punjab,2020,301.4,301.4,0.0,386.0,74,2,0,0,33.0,0.82
Vehari,Punjab,2021,86.2,86.2,0.0,181.0,47,0,0,0,9.0,0.24
Vehari,Punjab,2022,465.6,465.6,0.0,443.0,76,4,1,0,75.9,1.28
Vehari,Punjab,2023,352.4,352.4,0.0,292.0,86,1,0,0,38.9,0.97
Vehari,Punjab,2024,273.0,273.0,0.0,306.0,72,1,0,0,35.0,0.75
Vehari,Punjab,2025,241.9,241.9,0.0,237.0,67,1,0,0,40.8,0.66
